City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
150,Gaoua,BF,10.2992,-3.2508,68.11,17,4,5.37,clear sky
151,São João da Barra,BR,-21.6403,-41.0511,75.13,87,98,15.75,overcast clouds
152,City of San Pedro,PH,14.35,121.0167,85.35,64,23,18.66,few clouds
153,Bethel,US,41.3712,-73.414,28.04,84,100,5.75,overcast clouds
154,Souillac,MU,-20.5167,57.5167,80.37,83,100,19.84,light rain
155,Airai,TL,-8.9266,125.4092,68.45,82,95,3.36,overcast clouds
156,Bilibino,RU,68.0546,166.4372,-7.69,86,1,5.3,clear sky
157,Verkhniy Kurkuzhin,RU,43.6956,43.2747,22.66,72,100,12.35,overcast clouds
158,Izhma,RU,65.0083,53.9113,-13.14,100,88,2.55,overcast clouds
159,Bubaque,GW,11.2833,-15.8333,77.54,64,0,9.4,clear sky
160,Saint George,US,37.1041,-113.5841,42.35,35,0,1.01,clear sky
161,New Norfolk,AU,-42.7826,147.0587,69.91,48,85,1.99,overcast clouds
162,Ialibu,PG,-6.2821,143.9935,62.76,89,95,3.29,overcast clouds
163,Wote,KE,-1.7808,37.6288,69.13,59,95,2.01,overcast clouds
164,Wuda,CN,39.4994,106.7117,23.59,26,100,6.29,overcast clouds
165,Mehamn,NO,71.0357,27.8492,19.44,83,100,22.82,overcast clouds
166,Clyde River,CA,70.4692,-68.5914,-15.65,97,100,4.68,overcast clouds
167,Umarkot,PK,25.3616,69.7362,70.02,45,0,10.4,clear sky
168,Hanzhong,CN,33.0728,107.0303,45.07,59,100,5.82,light rain
169,Bengkulu,ID,-3.8004,102.2655,78.24,79,100,2.84,light rain
170,Baykal'sk,RU,51.5058,104.1469,20.28,72,45,0.58,scattered clouds
171,Logan,US,41.7355,-111.8344,27.19,72,0,5.75,clear sky
172,Hilo,US,19.7297,-155.09,72.25,90,0,0.0,clear sky
173,Jamame,SO,0.0722,42.7506,80.85,70,53,12.95,broken clouds
174,Cherskiy,RU,68.75,161.3,-31.59,97,8,4.18,clear sky
175,Marsh Harbour,BS,26.5412,-77.0636,72.88,62,0,7.09,clear sky
176,Gizo Government Station,SB,-8.103,156.8419,85.82,71,93,10.49,overcast clouds
177,Oranjestad,AW,12.524,-70.027,78.75,78,20,12.66,few clouds
178,Vila Velha,BR,-20.3297,-40.2925,75.15,96,0,2.3,clear sky
179,Norman Wells,CA,65.282,-126.8329,-11.97,92,100,3.94,overcast clouds
180,La Ronge,CA,55.1001,-105.2842,-3.89,98,100,9.06,light snow
181,Flin Flon,CA,54.7682,-101.865,-9.94,97,100,6.22,overcast clouds
182,Butaritari,KI,3.0707,172.7902,82.78,78,49,18.68,light rain
183,Bucerías,MX,20.75,-105.3333,65.71,83,4,3.76,clear sky
